Date,huc12,sseb_mean,sseb_25th,sseb_50th,sseb_75th
2022-05-01,170402080608,92.6973439165216,58.0,88.99999999999999,139.0
2022-05-01,170402080102,62.49833708898377,53.22619644261493,63.00000000000001,70.20497644954172
2022-05-01,170402080104,74.59749904265621,59.473605594312254,71.45780430547197,89.46233476421453
2022-05-01,170402080106,54.52629754777775,44.89810391467704,54.0,63.00000000000004
2022-05-01,170402080107,57.61616736795696,46.99999999999999,56.99999999999999,69.0
2022-05-01,170402080105,61.83778838543346,48.0,60.31520903056145,69.00000000000001
2022-05-01,170402080108,61.88640553326299,47.000000000000014,61.30287494731773,73.3751271086338
2022-05-01,170402080211,75.99815687791855,64.0,76.34859454591091,87.3759106575781
2022-05-01,170402080506,64.32741713404631,54.285677170965386,63.000000000000014,73.40648894054104
2022-05-01,170402080602,64.3982820617067,54.0,64.0,72.99999999999999
2022-05-01,170402080603,74.90636522330226,63.00000000000001,73.50293800481333,85.87901553729905
2022-05-01,170402080605,70.00177533325045,51.0,67.2209220672519,83.24953256237873
2022-05-01,170402080607,75.92524998957943,53.11696915877594,70.00000000000001,100.11986246459176
2022-05-01,170402080606,59.84869727781437,29.999999999999996,56.3516385142572,86.44003139814454
2022-05-01,170402080507,62.279670859989466,49.000000000000014,59.00000000000003,72.99999999999997
2022-05-01,170402080101,58.0705411325643,53.00000000000001,58.43612681682206,64.0
2022-05-01,170402080103,81.31646293590835,65.99999999999999,79.00000000000001,96.0
2022-05-01,170402080206,82.05837828575697,66.50571175824258,79.96912481570523,99.97526468482722
2022-05-01,170402080501,72.75431449844673,60.0,72.00000000000001,86.00000000000001
2022-05-01,170402080502,78.58060204474276,67.0,78.99999999999996,93.0
2022-05-01,170402080503,75.86768313005136,64.0,76.00000000000003,89.00000000000001
2022-05-01,170402080504,75.0308260146462,62.40626710833438,75.1555544489826,87.36608127295723
2022-05-01,170402080505,62.7745372441316,49.00000000000001,61.00000000000001,74.99999999999999
2022-05-01,170402080601,69.90986347420284,57.03640149063624,66.0,78.00000000000001
2022-05-01,170402080604,66.2453821575017,50.99999999999998,59.99999999999999,72.0
2022-05-01,170402080305,63.62196050119109,53.50227183262822,63.000000000000014,73.49171423322451
2022-05-01,170402080306,66.80302518390461,52.99999999999999,64.0,77.0
2022-05-01,170402080201,47.01399773548852,37.00000000000001,44.000000000000014,56.00000000000003
2022-05-01,170402080203,65.19406188818604,51.0,64.0,78.0
2022-05-01,170402080202,51.51920081198288,40.00000000000001,50.99315005632644,62.99999999999999
2022-05-01,170402080204,53.67402861635364,34.415461942206,48.32274123710736,69.29093426619674
2022-05-01,170402080208,71.78822004614821,61.0,70.99999999999999,83.00000000000001
2022-05-01,170402080209,78.0294393979993,66.50776915211479,77.5000433983312,88.47324707473285
2022-05-01,170402080207,73.24905057531838,60.99999999999999,72.3076760154828,85.00000000000003
2022-05-01,170402080210,68.0560088740705,55.247984231924846,67.20603296964472,79.99999999999999
2022-05-01,170402080301,70.09338987919048,57.0,70.47326254422867,83.0
2022-05-01,170402080303,75.8620062186669,62.91969738873903,75.44714770402496,88.46754384619186
2022-05-01,170402080302,67.5168047327611,56.38626897109744,64.32628649569368,77.00000000000001
2022-05-01,170402080304,68.1202306744188,56.00000000000001,66.0,78.99999999999999
2022-05-01,170402080307,66.67493990696317,54.39715690140405,64.3085481253057,78.00000000000001
2022-05-01,170402080308,65.59786200889542,49.00000000000001,62.0,77.00000000000001
2022-05-01,170402080401,65.7069622273953,48.99999999999999,61.00000000000002,78.00000000000001
2022-05-01,170402080403,77.95206508853111,64.0,74.99999999999999,88.0
2022-05-01,170402080205,59.72344962984994,45.99999999999999,55.000000000000014,72.00000000000001
2022-05-01,170402080402,72.53356507254611,59.00000000000003,71.0,85.00000000000004
2022-05-01,170402080404,74.88757749987222,61.31681340440988,73.26603931669021,86.99999999999999
2022-06-01,170402080608,146.21239836653297,107.00000000000004,146.00000000000003,200.7041881278075
2022-06-01,170402080102,125.70250460457684,111.0,127.0,142.00000000000003
2022-06-01,170402080104,132.1244680069492,112.99999999999996,135.0,153.00000000000003
2022-06-01,170402080106,127.12448209792392,113.0,127.0,144.00000000000003
